pID,condition,task,interaction,trial,attempt,dataset,category,videos,selectedVideos,correctVideos,difference1,difference2,loadTime,elapsedTime,totalCorrect,falseNegatives,falsePositives,incompleteTrial
36,1,3,overlays,1,4,baseball,oriole_park,bryce_miller;bryan_baker;cristian_javier;corbin_burnes;jordan_lyles;jon_gray;kyle_bradish;spenser_watkins;yennier_cano;,jon_gray;corbin_burnes;,corbin_burnes;jon_gray;,0.011994165248152926,0.006735725647619532,169644,72326,2,0,0,false
36,1,3,overlays,2,1,baseball,rogers_centre,jordan_romano;drew_rasmussen;erik_swanson;kevin_gausman;marcus_stroman;tanner_bibee;trevor_richards;dakota_hudson;yimi_garcia;,kevin_gausman;marcus_stroman;,trevor_richards;dakota_hudson;,0.06207898195041539,0.09587429269621756,193246,65760,0,2,2,false
36,1,3,overlays,2,2,baseball,rogers_centre,jordan_romano;drew_rasmussen;erik_swanson;kevin_gausman;marcus_stroman;tanner_bibee;trevor_richards;dakota_hudson;yimi_garcia;,drew_rasmussen;erik_swanson;,trevor_richards;dakota_hudson;,0.06119493443088247,0.07149965034879542,193246,80500,0,2,2,false
36,1,3,overlays,2,3,baseball,rogers_centre,jordan_romano;drew_rasmussen;erik_swanson;kevin_gausman;marcus_stroman;tanner_bibee;trevor_richards;dakota_hudson;yimi_garcia;,tanner_bibee;yimi_garcia;,trevor_richards;dakota_hudson;,0.09022483028523802,0.05377824839096196,193246,91103,0,2,2,false
36,1,3,overlays,2,4,baseball,rogers_centre,jordan_romano;drew_rasmussen;erik_swanson;kevin_gausman;marcus_stroman;tanner_bibee;trevor_richards;dakota_hudson;yimi_garcia;,dakota_hudson;trevor_richards;,trevor_richards;dakota_hudson;,0.010499999999999954,0.016224980739588012,193246,100587,2,0,0,false
36,1,3,shadowMarkers,0,1,baseball,oakland_coliseum,paul_blackburn;domingo_acevedo;adrian_martinez;mason_miller;joe_boyle;jason_heyward;austin_pruitt;james_kaprielian;luis_medina;,domingo_acevedo;james_kaprielian;,adrian_martinez;austin_pruitt;,0.1113404239259039,0.18173651256695778,147024,82915,0,2,2,false
36,1,3,shadowMarkers,0,2,baseball,oakland_coliseum,paul_blackburn;domingo_acevedo;adrian_martinez;mason_miller;joe_boyle;jason_heyward;austin_pruitt;james_kaprielian;luis_medina;,joe_boyle;jason_heyward;,adrian_martinez;austin_pruitt;,0.09100137361600656,0.20259797629788903,147024,90886,0,2,2,false
36,1,3,shadowMarkers,0,3,baseball,oakland_coliseum,paul_blackburn;domingo_acevedo;adrian_martinez;mason_miller;joe_boyle;jason_heyward;austin_pruitt;james_kaprielian;luis_medina;,luis_medina;adrian_martinez;,adrian_martinez;austin_pruitt;,0.18533852810465506,0.02044137960119129,147024,96899,1,1,1,false
36,1,3,shadowMarkers,0,4,baseball,oakland_coliseum,paul_blackburn;domingo_acevedo;adrian_martinez;mason_miller;joe_boyle;jason_heyward;austin_pruitt;james_kaprielian;luis_medina;,adrian_martinez;mason_miller;,adrian_martinez;austin_pruitt;,0.02044137960119129,0.13433167906342866,147024,108059,1,1,1,false
36,1,3,shadowMarkers,0,5,baseball,oakland_coliseum,paul_blackburn;domingo_acevedo;adrian_martinez;mason_miller;joe_boyle;jason_heyward;austin_pruitt;james_kaprielian;luis_medina;,adrian_martinez;domingo_acevedo;,adrian_martinez;austin_pruitt;,0.02044137960119129,0.1113404239259039,147024,113273,1,1,1,false
36,1,3,shadowMarkers,0,6,baseball,oakland_coliseum,paul_blackburn;domingo_acevedo;adrian_martinez;mason_miller;joe_boyle;jason_heyward;austin_pruitt;james_kaprielian;luis_medina;,adrian_martinez;austin_pruitt;,adrian_martinez;austin_pruitt;,0.02044137960119129,0.020350184274349942,147024,117409,2,0,0,false
36,1,3,shadowMarkers,1,1,baseball,wrigley_field,yu_darvish;adrian_sampson;charlie_morton;johan_oviedo;marcus_stroman;adbert_alzolay;daniel_palencia;matt_swarmer;mitch_keller;,daniel_palencia;adrian_sampson;,adbert_alzolay;daniel_palencia;,0.01309083648969768,0.06216630920361929,177742,32704,1,1,1,false
36,1,3,shadowMarkers,1,2,baseball,wrigley_field,yu_darvish;adrian_sampson;charlie_morton;johan_oviedo;marcus_stroman;adbert_alzolay;daniel_palencia;matt_swarmer;mitch_keller;,daniel_palencia;mitch_keller;,adbert_alzolay;daniel_palencia;,0.01309083648969768,0.06248879899630013,177742,45720,1,1,1,false
