pID,condition,interaction,task,question,value
11,overlays_smallmultiples_shadowmarks,smallmultiples,4,TaskDifficulty,
11,overlays_smallmultiples_shadowmarks,smallmultiples,4,TechniqueDifficulty,
11,overlays_smallmultiples_shadowmarks,overlays,4,MentalDemand,
11,overlays_smallmultiples_shadowmarks,overlays,4,PhysicalDemand,
11,overlays_smallmultiples_shadowmarks,overlays,4,TemporalDemand,
11,overlays_smallmultiples_shadowmarks,overlays,4,Performance,
11,overlays_smallmultiples_shadowmarks,overlays,4,Effort,
11,overlays_smallmultiples_shadowmarks,overlays,4,Frustration,
11,overlays_smallmultiples_shadowmarks,overlays,4,Guessing,
11,overlays_smallmultiples_shadowmarks,overlays,4,PerceivedAccuracy,
11,overlays_smallmultiples_shadowmarks,overlays,4,TaskDifficulty,
11,overlays_smallmultiples_shadowmarks,overlays,4,TechniqueDifficulty,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,MentalDemand,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,PhysicalDemand,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,TemporalDemand,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,Performance,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,Effort,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,Frustration,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,Guessing,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,PerceivedAccuracy,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,TaskDifficulty,
11,overlays_smallmultiples_shadowmarks,shadowmarkers,4,TechniqueDifficulty,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,MentalDemand,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,PhysicalDemand,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,TemporalDemand,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,Performance,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,Effort,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,Frustration,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,Guessing,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,PerceivedAccuracy,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,TaskDifficulty,
12,overlays_shadowmarks_smallmultiples,smallmultiples,4,TechniqueDifficulty,
12,overlays_shadowmarks_smallmultiples,overlays,4,MentalDemand,
12,overlays_shadowmarks_smallmultiples,overlays,4,PhysicalDemand,
12,overlays_shadowmarks_smallmultiples,overlays,4,TemporalDemand,
12,overlays_shadowmarks_smallmultiples,overlays,4,Performance,
12,overlays_shadowmarks_smallmultiples,overlays,4,Effort,
12,overlays_shadowmarks_smallmultiples,overlays,4,Frustration,
12,overlays_shadowmarks_smallmultiples,overlays,4,Guessing,
12,overlays_shadowmarks_smallmultiples,overlays,4,PerceivedAccuracy,
12,overlays_shadowmarks_smallmultiples,overlays,4,TaskDifficulty,
12,overlays_shadowmarks_smallmultiples,overlays,4,TechniqueDifficulty,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,MentalDemand,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,PhysicalDemand,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,TemporalDemand,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,Performance,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,Effort,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,Frustration,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,Guessing,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,PerceivedAccuracy,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,TaskDifficulty,
12,overlays_shadowmarks_smallmultiples,shadowmarkers,4,TechniqueDifficulty,
13,shadowmarks_smallmultiples_overlays,smallmultiples,4,MentalDemand,7.0
13,shadowmarks_smallmultiples_overlays,smallmultiples,4,PhysicalDemand,1.0
13,shadowmarks_smallmultiples_overlays,smallmultiples,4,TemporalDemand,4.0
13,shadowmarks_smallmultiples_overlays,smallmultiples,4,Performance,6.0
13,shadowmarks_smallmultiples_overlays,smallmultiples,4,Effort,7.0
13,shadowmarks_smallmultiples_overlays,smallmultiples,4,Frustration,3.0
13,shadowmarks_smallmultiples_overlays,smallmultiples,4,Guessing,7.0
