"","pID","condition","trial","interaction","attempt","elapsedTime","selectedVideos","videos"
"129",16,1,2,"smallMultiples",2,35410,"scatterplot-18;","scatterplot-1;scatterplot-32;scatterplot-35;scatterplot-72;scatterplot-78;scatterplot-10;scatterplot-18;scatterplot-30;scatterplot-40;"
"130",18,3,1,"overlays",1,44124,"scatterplot-3;","scatterplot-44;scatterplot-20;scatterplot-30;scatterplot-82;scatterplot-3;scatterplot-36;scatterplot-21;scatterplot-54;scatterplot-83;"
"131",18,3,1,"shadowMarkers",1,12000,"scatterplot-16;","scatterplot-68;scatterplot-57;scatterplot-40;scatterplot-92;scatterplot-58;scatterplot-16;scatterplot-32;scatterplot-47;scatterplot-38;"
"132",18,3,1,"smallMultiples",1,14361,"scatterplot-12;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"133",18,3,1,"smallMultiples",2,28140,"scatterplot-30;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"134",18,3,1,"smallMultiples",3,50199,"scatterplot-20;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"135",18,3,1,"smallMultiples",4,53202,"scatterplot-60;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"136",18,3,1,"smallMultiples",5,64529,"scatterplot-28;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"137",18,3,1,"smallMultiples",6,68083,"scatterplot-64;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"138",18,3,1,"smallMultiples",7,70026,"scatterplot-12;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"139",18,3,1,"smallMultiples",8,71999,"scatterplot-40;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"140",18,3,1,"smallMultiples",9,73899,"scatterplot-60;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"141",18,3,1,"smallMultiples",10,75929,"scatterplot-86;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"142",18,3,2,"overlays",1,38150,"scatterplot-27;","scatterplot-22;scatterplot-54;scatterplot-28;scatterplot-72;scatterplot-47;scatterplot-57;scatterplot-16;scatterplot-81;scatterplot-27;"
"143",18,3,2,"overlays",2,58721,"scatterplot-16;","scatterplot-22;scatterplot-54;scatterplot-28;scatterplot-72;scatterplot-47;scatterplot-57;scatterplot-16;scatterplot-81;scatterplot-27;"
