"","pID","condition","interaction","trial","attempt","selectedVideos","videos"
"132",29,4,"smallMultiples",2,4,"scatterplot-81;","scatterplot-58;scatterplot-94;scatterplot-57;scatterplot-23;scatterplot-24;scatterplot-81;scatterplot-6;scatterplot-4;scatterplot-11;"
"133",29,4,"smallMultiples",2,5,"scatterplot-23;","scatterplot-58;scatterplot-94;scatterplot-57;scatterplot-23;scatterplot-24;scatterplot-81;scatterplot-6;scatterplot-4;scatterplot-11;"
"134",29,4,"smallMultiples",2,6,"scatterplot-58;","scatterplot-58;scatterplot-94;scatterplot-57;scatterplot-23;scatterplot-24;scatterplot-81;scatterplot-6;scatterplot-4;scatterplot-11;"
"135",29,4,"smallMultiples",2,7,"scatterplot-81;","scatterplot-58;scatterplot-94;scatterplot-57;scatterplot-23;scatterplot-24;scatterplot-81;scatterplot-6;scatterplot-4;scatterplot-11;"
"136",29,4,"smallMultiples",2,8,"scatterplot-11;","scatterplot-58;scatterplot-94;scatterplot-57;scatterplot-23;scatterplot-24;scatterplot-81;scatterplot-6;scatterplot-4;scatterplot-11;"
"137",3,1,"overlays",0,1,"scatterplot-0;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"138",3,1,"overlays",0,2,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"139",3,1,"overlays",1,1,"scatterplot-89;","scatterplot-39;scatterplot-33;scatterplot-89;scatterplot-55;scatterplot-56;scatterplot-23;scatterplot-19;scatterplot-30;scatterplot-75;"
"140",3,1,"overlays",1,2,"scatterplot-55;","scatterplot-39;scatterplot-33;scatterplot-89;scatterplot-55;scatterplot-56;scatterplot-23;scatterplot-19;scatterplot-30;scatterplot-75;"
"141",3,1,"overlays",2,1,"scatterplot-65;","scatterplot-65;scatterplot-1;scatterplot-81;scatterplot-38;scatterplot-48;scatterplot-75;scatterplot-29;scatterplot-45;scatterplot-58;"
"142",3,1,"overlays",2,2,"scatterplot-45;","scatterplot-65;scatterplot-1;scatterplot-81;scatterplot-38;scatterplot-48;scatterplot-75;scatterplot-29;scatterplot-45;scatterplot-58;"
"143",3,1,"shadowMarkers",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"144",3,1,"shadowMarkers",1,1,"scatterplot-37;","scatterplot-12;scatterplot-87;scatterplot-83;scatterplot-4;scatterplot-56;scatterplot-37;scatterplot-6;scatterplot-68;scatterplot-24;"
"145",3,1,"shadowMarkers",2,1,"scatterplot-76;","scatterplot-64;scatterplot-82;scatterplot-65;scatterplot-81;scatterplot-28;scatterplot-19;scatterplot-20;scatterplot-1;scatterplot-76;"
"146",3,1,"smallMultiples",0,1,"scatterplot-0;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"147",3,1,"smallMultiples",0,2,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"148",3,1,"smallMultiples",0,3,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"149",3,1,"smallMultiples",1,1,"scatterplot-92;","scatterplot-61;scatterplot-92;scatterplot-12;scatterplot-89;scatterplot-70;scatterplot-1;scatterplot-68;scatterplot-72;scatterplot-17;"
"150",3,1,"smallMultiples",1,2,"scatterplot-70;","scatterplot-61;scatterplot-92;scatterplot-12;scatterplot-89;scatterplot-70;scatterplot-1;scatterplot-68;scatterplot-72;scatterplot-17;"
"151",3,1,"smallMultiples",2,1,"scatterplot-25;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"152",3,1,"smallMultiples",2,2,"scatterplot-44;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"153",3,1,"smallMultiples",2,3,"scatterplot-12;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"154",3,1,"smallMultiples",2,4,"scatterplot-17;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"155",3,1,"smallMultiples",2,5,"scatterplot-1;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"156",3,1,"smallMultiples",2,6,"scatterplot-44;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"157",3,1,"smallMultiples",2,7,"scatterplot-25;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"158",3,1,"smallMultiples",2,8,"scatterplot-63;","scatterplot-25;scatterplot-17;scatterplot-87;scatterplot-12;scatterplot-1;scatterplot-44;scatterplot-63;scatterplot-90;scatterplot-39;"
"159",34,2,"overlays",0,1,"scatterplot-8;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"160",34,2,"overlays",0,2,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"161",34,2,"overlays",1,1,"scatterplot-97;","scatterplot-44;scatterplot-22;scatterplot-48;scatterplot-26;scatterplot-41;scatterplot-97;scatterplot-47;scatterplot-21;scatterplot-19;"
"162",34,2,"overlays",2,1,"scatterplot-31;","scatterplot-38;scatterplot-72;scatterplot-79;scatterplot-1;scatterplot-94;scatterplot-48;scatterplot-81;scatterplot-22;scatterplot-31;"
"163",34,2,"shadowMarkers",0,1,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"164",34,2,"shadowMarkers",0,2,"scatterplot-7;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"165",34,2,"shadowMarkers",0,3,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"166",34,2,"shadowMarkers",1,1,"scatterplot-97;","scatterplot-72;scatterplot-89;scatterplot-47;scatterplot-97;scatterplot-82;scatterplot-38;scatterplot-22;scatterplot-75;scatterplot-40;"
"167",34,2,"shadowMarkers",2,1,"scatterplot-28;","scatterplot-48;scatterplot-28;scatterplot-26;scatterplot-75;scatterplot-65;scatterplot-19;scatterplot-10;scatterplot-55;scatterplot-44;"
"168",34,2,"shadowMarkers",2,2,"scatterplot-44;","scatterplot-48;scatterplot-28;scatterplot-26;scatterplot-75;scatterplot-65;scatterplot-19;scatterplot-10;scatterplot-55;scatterplot-44;"
"169",34,2,"shadowMarkers",2,3,"scatterplot-48;","scatterplot-48;scatterplot-28;scatterplot-26;scatterplot-75;scatterplot-65;scatterplot-19;scatterplot-10;scatterplot-55;scatterplot-44;"
"170",34,2,"shadowMarkers",2,4,"scatterplot-55;","scatterplot-48;scatterplot-28;scatterplot-26;scatterplot-75;scatterplot-65;scatterplot-19;scatterplot-10;scatterplot-55;scatterplot-44;"
"171",34,2,"smallMultiples",0,1,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"172",34,2,"smallMultiples",0,2,"scatterplot-0;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
